# [schema]
# separator = "<whitespace>,<whitespace>"
# null      = "-"
# comment   = "#"
#
# [columns]
# eventname     = FRB name (subfolder within `folder` containing numpy files)
# folder        = Folder containg eventname subfolder
# burstrate     = Burst rate (in 1/hr)
# periodicity   = Periodicity of FRB (in days) (optional)
eventname       ,folder                 ,burstrate  ,periodicity
FRB20180916B    ,../data/catalog2021-2/ ,4.48       ,16.33
FRB20201130A    ,../data/catalog2023/   ,2.34       ,-
FRB20191106C    ,../data/catalog2023/   ,2.54e-2    ,-
FRB20200619A    ,../data/catalog2023/   ,1.3e-2     ,-
FRB20190804E    ,../data/catalog2023/   ,1.52e-2    ,-
FRB20190915D    ,../data/catalog2023/   ,2.56e-1    ,-
FRB20200929C    ,../data/catalog2023/   ,1.45e-1    ,-
FRB20201221B    ,../data/catalog2023/   ,3.78e-2    ,-
FRB20200809E    ,../data/catalog2023/   ,2.81e-3    ,-
FRB20190609C    ,../data/catalog2023/   ,7.3e-3     ,-
FRB20190226B    ,../data/catalog2023/   ,3.65e-3    ,-
FRB20200223B    ,../data/catalog2023/   ,1.44e-1    ,-
FRB20200202A    ,../data/catalog2023/   ,6.53e-2    ,-
FRB20190430C    ,../data/catalog2023/   ,2.36e-1    ,-
FRB20200420A    ,../data/catalog2023/   ,9.58e-4    ,-
FRB20200127B    ,../data/catalog2023/   ,1.05e-2    ,-
FRB20201114A    ,../data/catalog2023/   ,2.33e-2    ,-
FRB20190110C    ,../data/catalog2023/   ,8e-3       ,-
FRB20200118D    ,../data/catalog2023/   ,3.3e-3     ,-
FRB20181226F    ,../data/catalog2023/   ,2.37e-3    ,-
FRB20191013D    ,../data/catalog2023/   ,7.09e-2    ,-
FRB20191114A    ,../data/catalog2023/   ,1.36e-2    ,-
FRB20190113A    ,../data/catalog2023/   ,4.97e-2    ,-
FRB20200913C    ,../data/catalog2023/   ,2.85e-3    ,-
FRB20200926A    ,../data/catalog2023/   ,1.58e-3    ,-
FRB20180910A    ,../data/catalog2023/   ,3.83e-3    ,-
