Burst No., BPT (MJD), TOA (day), WT (s), Center frequency (MHz), Bandwidth (MHz), S (Jy), σS, F (Jyms), σF, w (ms), σw
1,56233.28284,,,1375,322,0.04,0.008,0.1,0.012,3.3,0.3
2,57159.7376,926.4548,572.2085,1375,322,0.03,0.006,0.1,0.012,3.8,0.4
3,57159.74422,926.4614,,1375,322,0.03,0.006,0.1,0.012,3.3,0.4
4,57175.69314,942.4103,568.9089,1375,322,0.04,0.008,0.2,0.012,4.6,0.3
5,57175.69973,942.4169,,1375,322,0.02,0.004,0.09,0.03,8.7,1.5
6,57175.74258,942.4597,22.6919,1375,322,0.02,0.004,0.06,0.008,2.8,0.4
7,57175.74284,942.46,57.9782,1375,322,0.02,0.004,0.06,0.028,6.1,1.4
8,57175.74351,942.4607,186.2304,1375,322,0.14,0.028,0.9,0.014,6.6,0.1
9,57175.74567,942.4628,169.2592,1375,322,0.05,0.01,0.3,0.015,6,0.3
10,57175.74762,942.4648,57.2326,1375,322,0.05,0.01,0.2,0.025,8,0.5
11,57175.74829,942.4655,,1375,322,0.31,0.062,1,0.012,3.06,0.04
12,57339.35605,1106.0732,,2000,800,0.04,,0.2,0.045,6.73,1.12
13,57345.44769,1112.1649,414.4327,2000,800,0.06,,0.4,0.034,6.1,0.57
14,57345.45249,1112.1697,441.2775,2000,800,0.04,,0.2,0.04,6.14,1
15,57345.4576,1112.1748,416.2582,2000,800,0.02,,0.08,0.028,4.3,1.4
16,57345.46241,1112.1796,,2000,800,0.09,,0.6,0.032,5.97,0.35
17,57364.20463,1130.9218,,1430,700,0.03,0.006,0.09,0.007,2.5,0.23
18,57620.39222,1387.1094,160.3673,4850,,0.3,0.04,0.15,0.05,0.5,0.1
19,57620.39407,1387.1112,480.0102,4850,,0.2,0.04,0.12,0.044,0.6,0.1
20,57620.39963,1387.1168,,4850,,0.1,0.02,0.17,0.064,1.7,0.3
21,57623.74403,1390.4612,,3000,512,0.12,,0.6,,5,
22,57633.67986,1400.397,1321.5493,3000,500,0.67,,3.35,,5,
23,57633.69516,1400.4123,,3000,500,0.025,,0.13,,5,
24,57638.49937,1405.2165,,3000,500,0.063,,0.32,,5,
25,57643.4573,1410.1745,,3000,500,0.326,,1.63,,5,
26,57645.42959,1412.1467,,3000,500,0.039,,0.2,,5,
27,57646.46601,1413.1832,,3000,500,0.05,,0.25,,5,
28,57647.23235,1413.9495,0.0374,2000,800,0.36,,0.32,0.022,2.16,0.06
29,57647.23235,1413.9495,,2000,800,0.08,,0.16,0.02,1.94,0.25
30,57648.43691,1415.1541,,3000,500,0.086,0.014,0.43,,5,
31,57649.17381,1415.891,3836.1884,2000,800,0.36,,1.32,0.025,3.45,0.07
32,57649.21821,1415.9354,,2000,800,0.29,,0.34,0.02,0.88,0.07
33,57649.45176,1416.1689,,3000,500,0.159,0.006,0.8,,5,
34,57747.12956,1513.8467,658.5214,4500,800,0.9,0.18,0.7,0.14,0.8,0.01
35,57747.13719,1513.8543,784.8879,4500,800,0.3,0.06,0.2,0.04,0.85,0.01
36,57747.14627,1513.8634,458.1716,4500,800,0.8,0.16,0.2,0.04,0.22,0.01
37,57747.15157,1513.8687,250.0029,4500,800,0.2,0.04,0.09,0.018,0.55,0.01
38,57747.15447,1513.8716,503.0038,4500,800,0.2,0.04,0.1,0.02,0.76,0.01
39,57747.16029,1513.8775,4.7001,4500,800,1.8,0.36,0.05,0.01,0.03,0.01
40,57747.16034,1513.8775,473.8184,4500,800,0.6,0.12,0.2,0.04,0.31,0.01
41,57747.16583,1513.883,47.2859,4500,800,0.4,0.08,0.5,0.1,1.36,0.01
42,57747.16637,1513.8835,828.7868,4500,800,0.2,0.04,0.3,0.06,1.92,0.01
43,57747.17597,1513.8931,,4500,800,0.2,0.04,0.2,0.04,0.98,0.01
