,frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference,redshift,redshift_measured,ra_error,dec_error,dm_error,raw,notes,high_freq,low_freq
0,FRB19910730A,30/7/1991 22:24,48467.934,Parkes,06:45.9,-43:33:00.00,254.23,-15.73,430,591.4,0.77,113.4,87,23,https://www.wis-tns.org/object/19910730a,0.3674,-,7,7,-,,,,
1,FRB19920428A,28/4/1992 18:14,48740.76,Parkes,09:00.0,-15:36:00.00,6.64,14.35,430,276.3,0.36,51.6,18,7.2,https://www.wis-tns.org/object/19920428a,0.1782,-,7,7,-,,,,
2,FRB19920913A,13/9/1992 0:51,48878.036,Parkes,03:00.0,-05:12:00.00,352.43,44.66,430,3337.9,0.23,157,37,8.2,https://www.wis-tns.org/object/19920913a,2.8319,-,7,7,-,,,,
3,FRB19921212A,12/12/1992 6:10,48968.257,Parkes,46:15.0,-07:46:60.00,47.91,-42.14,430,838.9,0.62,201,126,24.9,https://www.wis-tns.org/object/19921212a,0.7945,-,7,7,-,,,,
4,FRB20010125A,25/1/2001 0:29,51934.02032,Parkes,06:53.0,-40:37:14.00,356.64,-20.02,1372.5,790.3,0.54,10.6,5.72,25,https://www.wis-tns.org/object/20010125a,0.7083,-,7.5,7.5,3,https://data-portal.hpc.swin.edu.au/dataset/parkes-frbs-archival-data,,,
5,FRB20010305A,5/3/2001 12:29,51973.52032,Parkes,4:57:20,-52:36:25,260.07,-38.35,1374,350,0.42,9,3.78,10.2,https://arxiv.org/abs/2004.04601,0.341,-,7.5,7.5,5,,,,
6,FRB20010312A,12/3/2001 11:06,51980.46306,Parkes,26:54.9,-64:56:19.20,274.72,-33.3,1374,1187,0.25,24.3,6.1,11,https://www.wis-tns.org/object/20010312a,1.0897,-,7.5,7.5,14,,,,
7,FRB20010621A,21/6/2001 13:02,52081.54319,Parkes,52:05.0,-08:29:35.00,25.43,-4,1374,745,0.41,7,-,16.3,https://www.wis-tns.org/object/20010621a,0.4454,-,7.5,7.5,10,https://data-portal.hpc.swin.edu.au/dataset/parkes-frbs-archival-data,,,
8,FRB20010724A,24/7/2001 19:50,52114.82641,Parkes,18:06.0,-75:12:18.00,300.65,-41.81,1374,375,30,5,150,23,https://www.wis-tns.org/object/20010724a,0.369,-,7.5,7.5,3,https://data-portal.hpc.swin.edu.au/dataset/parkes-frbs-archival-data,,,
9,FRB20090625A,25/6/2009 21:53,55007.9124,Parkes,07:47.0,-29:55:36.00,226.44,-60.03,1352,899.55,1.15,1.9,2.18,28,https://www.wis-tns.org/object/20090625a,0.8541,-,7.5,7.5,0.01,https://data-portal.hpc.swin.edu.au/dataset/fast-radio-burst-data-high-time-resolution-universe-survey-high-latitude,,,
10,FRB20110214A,14/2/2011 7:14,55606.30151,Parkes,21:17.0,-49:47:11.00,290.73,-66.63,1352,168.9,27,1.9,51.3,13,https://www.wis-tns.org/object/20110214a,0.1758,-,7.5,7.5,0.5,,,,
11,FRB20110220A,20/2/2011 1:55,55612.08042,Parkes,34:38.0,-12:23:45.00,50.83,-54.77,1352,944.38,1.11,6.59,7.31,54,https://www.wis-tns.org/object/20110220a,0.8964,-,7.5,7.5,0.05,https://data-portal.hpc.swin.edu.au/dataset/parkes-frbs-archival-data,,,
12,FRB20110523A,23/5/2011 15:06,55704.62939,GBT,45:12.0,-00:09:37.00,56.12,-37.82,800,623.3,0.6,1.73,-,42,https://www.wis-tns.org/object/20110523a,0.5977,-,8,8,0.06,,,,
13,FRB20110626A,26/6/2011 21:33,55738.89812,Parkes,03:43.0,-44:44:19.00,355.86,-41.75,1352,723,0.63,1.41,0.89,12,https://www.wis-tns.org/object/20110626a,0.6855,-,7.5,7.5,0.3,https://data-portal.hpc.swin.edu.au/dataset/parkes-frbs-archival-data,,,
14,FRB20110703A,3/7/2011 18:59,55745.79144,Parkes,30:51.0,-02:52:24.00,81,-59.02,1352,1103.6,0.45,3.9,1.75,17,https://www.wis-tns.org/object/20110703a,1.0417,-,7.5,7.5,0.7,https://data-portal.hpc.swin.edu.au/dataset/parkes-frbs-archival-data,,,
