tns_name,supervised_multimodel,leave_one_out,unsupervised_multimodel
FRB20180801A,,TRUE,
FRB20180907E,,,TRUE
FRB20180911A,,,TRUE
FRB20180915B,,,TRUE
FRB20180920B,,,TRUE
FRB20180923A,,,TRUE
FRB20180923C,,,TRUE
FRB20180925A,,TRUE,
FRB20180928A,,TRUE,
FRB20180928A,,,TRUE
FRB20181013E,,,TRUE
FRB20181017B,TRUE,TRUE,TRUE
FRB20181030E,TRUE,,TRUE
FRB20181119B,,TRUE,
FRB20181125A,,,TRUE
FRB20181128C,TRUE,,
FRB20181130A,,,TRUE
FRB20181214A,,,TRUE
FRB20181218C,TRUE,,
FRB20181220A,,,TRUE
FRB20181221A,TRUE,,TRUE
FRB20181226E,,,TRUE
FRB20181229B,TRUE,,TRUE
FRB20181231B,TRUE,TRUE,TRUE
FRB20190106A,TRUE,,
FRB20190106B,,,TRUE
FRB20190107A,,TRUE,
FRB20190109B,TRUE,TRUE,TRUE
FRB20190110C,,,TRUE
FRB20190111A,,,TRUE
FRB20190112A,TRUE,,
FRB20190112A,,,TRUE
FRB20190124E,,TRUE,
FRB20190125A,TRUE,,
FRB20190125B,TRUE,TRUE,
FRB20190128C,TRUE,TRUE,
FRB20190129A,TRUE,,TRUE
FRB20190204A,,,TRUE
FRB20190206A,TRUE,TRUE,TRUE
FRB20190206B,TRUE,,
FRB20190218B,TRUE,,TRUE
FRB20190220A,,,TRUE
FRB20190221A,,,TRUE
FRB20190222B,,,TRUE
FRB20190223A,,,TRUE
FRB20190228A,,,TRUE
FRB20190308B,,,TRUE
FRB20190308C,,,TRUE
FRB20190323D,,,TRUE
FRB20190329A,TRUE,TRUE,TRUE
FRB20190403E,,,TRUE
FRB20190409B,TRUE,,TRUE
FRB20190410A,TRUE,,TRUE
FRB20190412B,TRUE,TRUE,TRUE
FRB20190418A,,,TRUE
FRB20190419A,,,TRUE
FRB20190422A,TRUE,,TRUE
FRB20190423A,,,TRUE
FRB20190423B,TRUE,TRUE,TRUE
FRB20190423B,TRUE,TRUE,TRUE
FRB20190429B,TRUE,TRUE,TRUE
FRB20190430A,,,TRUE
FRB20190517C,,,TRUE
FRB20190527A,TRUE,TRUE,TRUE
FRB20190531C,,,TRUE
FRB20190601B,,,TRUE
FRB20190601C,,,TRUE
FRB20190601C,,,TRUE
FRB20190609A,TRUE,,TRUE
FRB20190617A,,,TRUE
FRB20190617B,,TRUE,TRUE
FRB20190618A,,,TRUE
FRB20190625A,,,TRUE
