tns_name,classification,group,embedding_x,embedding_y
FRB20180725A,0,repeater_cluster_1,-1.082321644,8.901159286
FRB20180727A,-1,other_cluster_6,10.69175243,7.478735447
FRB20180729A,-1,other_cluster_3,8.485461235,1.737086892
FRB20180729B,0,repeater_cluster_1,-0.37382704,9.846347809
FRB20180730A,-1,other_cluster_5,11.9905405,5.327590942
FRB20180801A,0,repeater_cluster_1,-2.350457191,8.123565674
FRB20180806A,0,repeater_cluster_1,0.113246374,11.10269547
FRB20180810A,-1,other_cluster_6,7.625491142,7.875352383
FRB20180810B,-1,other_cluster_2,16.66549492,11.01349449
FRB20180812A,-1,other_cluster_3,6.782026768,-1.43453145
FRB20180814B,-1,other_cluster_1,-1.066714525,14.09490585
FRB20180814B,-1,other_cluster_1,-1.046130776,14.08284283
FRB20180814A,1,repeater_cluster_3,-0.76479882,-2.427215338
FRB20180817A,-1,other_cluster_6,10.2594347,7.208690643
FRB20180904A,-1,other_cluster_3,8.502547264,1.762851357
FRB20180906A,-1,other_cluster_1,-0.665316999,14.00675964
FRB20180906B,-1,other_cluster_5,11.87172699,4.056672573
FRB20180907D,-1,other_cluster_1,-0.956637621,13.9652853
FRB20180907A,-1,other_cluster_3,7.989658356,-1.128774047
FRB20180907B,-1,other_cluster_4,12.955616,0.923489928
FRB20180907C,0,repeater_cluster_1,0.110051453,11.11535835
FRB20180907E,0,repeater_cluster_3,2.302128077,-2.463608027
FRB20180908B,1,repeater_cluster_1,-2.390046835,8.050981522
FRB20180909A,-1,other_cluster_2,15.76746559,13.09083939
FRB20180910A,-1,other_cluster_6,13.26719284,8.382723808
FRB20180911C,1,repeater_cluster_1,-2.410288334,8.050661087
FRB20180911A,-1,other_cluster_3,6.861010551,-1.375927806
FRB20180915A,-1,other_cluster_6,7.01314497,7.58859396
FRB20180915B,0,repeater_cluster_3,2.238151073,-2.541213989
FRB20180916A,-1,other_cluster_6,11.93289566,7.26727438
FRB20180916B,1,repeater_cluster_1,-2.332883358,8.283578873
FRB20180916C,0,repeater_cluster_1,-1.831235051,9.491594315
FRB20180917B,-1,other_cluster_5,12.20368671,5.736000061
FRB20180917A,1,repeater_cluster_1,-4.773316383,11.39263916
FRB20180917A,1,repeater_cluster_1,-2.764567137,9.99790287
FRB20180917A,1,repeater_cluster_1,-2.307773829,9.353622437
FRB20180918A,0,repeater_cluster_1,0.437128127,9.381249428
FRB20180919B,-1,other_cluster_5,12.03756618,5.354367256
FRB20180919A,1,repeater_cluster_3,-1.355621099,-3.067043304
FRB20180920A,0,repeater_cluster_1,-0.932913184,8.949424744
FRB20180920B,0,repeater_cluster_3,-0.895408273,-2.947984934
FRB20180921A,-1,other_cluster_3,8.440137863,-0.422648996
FRB20180922A,0,repeater_cluster_3,2.382130384,-2.235538006
FRB20180923A,0,repeater_cluster_2,1.562101841,0.371068507
FRB20180923D,0,repeater_cluster_3,-0.175825104,-2.453026772
FRB20180923C,-1,other_cluster_3,8.466004372,-0.443737388
FRB20180924A,-1,other_cluster_1,-0.780097187,13.66886425
FRB20180925A,-1,other_cluster_1,-1.036181927,14.11018372
FRB20180925B,0,repeater_cluster_2,2.187119961,0.107129008
FRB20180928A,0,repeater_cluster_3,1.145614386,-2.879737854
FRB20181012B,0,repeater_cluster_3,-0.970231533,-2.963165522
FRB20181013A,-1,other_cluster_6,12.49004078,7.5822649
FRB20181013E,-1,other_cluster_3,7.852441311,-1.160366774
FRB20181013B,-1,other_cluster_2,16.78143692,11.53809261
FRB20181013C,-1,other_cluster_4,13.34224987,0.229511276
FRB20181014A,0,repeater_cluster_1,-4.572882652,11.55920601
FRB20181014B,-1,other_cluster_6,10.96286583,7.48908329
FRB20181014C,-1,other_cluster_3,8.467541695,1.806673527
FRB20181014D,0,repeater_cluster_1,0.674170554,9.530959129
FRB20181015A,-1,other_cluster_2,15.8206358,12.79163265
FRB20181017B,0,repeater_cluster_1,-2.390110254,8.071075439
FRB20181017A,1,repeater_cluster_2,2.959659576,1.129356503
FRB20181018B,-1,other_cluster_6,7.047319889,7.642571926
FRB20181018A,-1,other_cluster_1,-1.004780412,14.01897717
FRB20181018C,-1,other_cluster_3,8.432411194,-0.815794706
FRB20181019A,1,repeater_cluster_1,-2.86653924,10.13622475
FRB20181019A,1,repeater_cluster_1,-1.219577312,9.686637878
FRB20181019B,-1,other_cluster_6,11.97744274,7.307277679
FRB20181019C,-1,other_cluster_1,-0.622063875,14.13629055
FRB20181020A,-1,other_cluster_2,16.62992668,10.96663475
FRB20181022C,-1,other_cluster_3,8.31193924,-0.010990097
FRB20181022D,0,repeater_cluster_1,-4.516643524,11.5165329
FRB20181022E,0,repeater_cluster_3,1.753812075,-1.641181231
FRB20181025A,-1,other_cluster_2,16.60746002,12.7415905
FRB20181027A,0,repeater_cluster_1,-4.758457184,11.42733097
FRB20181028A,1,repeater_cluster_3,-1.707066774,-2.964125872
FRB20181028A,1,repeater_cluster_3,-1.751430631,-2.999002695
FRB20181028A,1,repeater_cluster_3,-1.830145001,-3.080914736
FRB20181028A,1,repeater_cluster_3,-1.911029816,-3.157702208
FRB20181028A,1,repeater_cluster_3,-1.973307848,-3.193516493
FRB20181030C,-1,other_cluster_3,8.463663101,1.621512651
FRB20181030A,1,repeater_cluster_1,-0.252531409,11.05374908
FRB20181030B,1,repeater_cluster_2,2.943072557,1.11986959
FRB20181030D,-1,other_cluster_6,9.584738731,7.582873821
FRB20181030E,0,repeater_cluster_2,1.47846067,0.447214901
FRB20181101A,-1,other_cluster_3,8.301882744,0.773851216
FRB20181102A,-1,other_cluster_1,-0.717318118,13.90470791
FRB20181104A,1,repeater_cluster_3,-2.155227184,-1.117471337
FRB20181104B,1,repeater_cluster_3,1.077723742,-2.452964783
FRB20181104C,-1,other_cluster_6,7.891353607,7.801509857
FRB20181104C,-1,other_cluster_6,7.27708149,7.643816948
FRB20181115A,0,repeater_cluster_2,1.537647963,0.392708004
FRB20181116A,-1,other_cluster_5,11.88250732,4.04553175
FRB20181116B,0,repeater_cluster_3,2.162479162,-2.570489883
FRB20181117C,0,repeater_cluster_1,-2.265316486,9.930057526
FRB20181117A,-1,other_cluster_1,-0.740083754,13.90594482
FRB20181117B,-1,other_cluster_6,8.229176521,7.911682606
