,name,samples
0,FRB 20121102A,FRB 20150517A
1,FRB 20121102A,FRB 20150517B
2,FRB 20121102A,FRB 20150602A
3,FRB 20121102A,FRB 20150602B
4,FRB 20121102A,FRB 20150602C
5,FRB 20121102A,FRB 20150602D
6,FRB 20121102A,FRB 20150602E
7,FRB 20121102A,FRB 20150602F
8,FRB 20121102A,FRB 20150602G
9,FRB 20121102A,FRB 20150602H
10,FRB 20121102A,FRB 20151018A
11,FRB 20121102A,FRB 20151113A
12,FRB 20121102A,FRB 20151119A
13,FRB 20121102A,FRB 20151119B
14,FRB 20121102A,FRB 20151119C
15,FRB 20121102A,FRB 20151119D
16,FRB 20121102A,FRB 20151208A
17,FRB 20121102A,FRB 20160823A
18,FRB 20121102A,FRB 20170826A
19,FRB 20121102A,FRB 20181119D
20,FRB 20180814A,FRB 20180911C
21,FRB 20180814A,FRB 20180917A
22,FRB 20180814A,FRB 20180919A
23,FRB 20180814A,FRB 20181028A
24,FRB 20180814A,FRB 20181118C
25,FRB 20180814A,FRB 20181120C
26,FRB 20180814A,FRB 20190224F
27,FRB 20180814A,FRB 20190329A
28,FRB 20180814A,FRB 20190517B
29,FRB 20180814A,FRB 20190611A
30,FRB 20180814A,FRB 20190625E
31,FRB 20180814A,FRB 20190626A
32,FRB 20180814A,FRB 20190817A
33,FRB 20180814A,FRB 20191029A
34,FRB 20180814A,FRB 20191107A
35,FRB 20180814A,FRB 20191111A
36,FRB 20180814A,FRB 20200224A
37,FRB 20180814A,FRB 20200302A
38,FRB 20180908A,FRB 20180908B
39,FRB 20180908A,FRB 20190621A
40,FRB 20180908A,FRB 20190702A
41,FRB 20180916B,FRB 20181019A
42,FRB 20180916B,FRB 20181104A
43,FRB 20180916B,FRB 20181120A
44,FRB 20180916B,FRB 20181120B
45,FRB 20180916B,FRB 20181222A
46,FRB 20180916B,FRB 20181223A
47,FRB 20180916B,FRB 20181225A
48,FRB 20180916B,FRB 20181226A
49,FRB 20180916B,FRB 20190126A
50,FRB 20180916B,FRB 20190518A
51,FRB 20180916B,FRB 20190518E
52,FRB 20180916B,FRB 20190519A
53,FRB 20180916B,FRB 20190519B
54,FRB 20180916B,FRB 20190519C
55,FRB 20180916B,FRB 20190603A
56,FRB 20180916B,FRB 20190604B
57,FRB 20180916B,FRB 20190604F
58,FRB 20180916B,FRB 20190605A
59,FRB 20180916B,FRB 20190605B
60,FRB 20180916B,FRB 20190619E
61,FRB 20180916B,FRB 20190619F
62,FRB 20180916B,FRB 20190619G
63,FRB 20180916B,FRB 20190619H
64,FRB 20180916B,FRB 20190809A
65,FRB 20180916B,FRB 20190810B
66,FRB 20180916B,FRB 20190825A
67,FRB 20180916B,FRB 20190825B
68,FRB 20180916B,FRB 20190825C
69,FRB 20180916B,FRB 20191030A
70,FRB 20180916B,FRB 20191030B
71,FRB 20180916B,FRB 20191115A
72,FRB 20180916B,FRB 20191218A
73,FRB 20180916B,FRB 20191219C
74,FRB 20180916B,FRB 20191219D
75,FRB 20180916B,FRB 20191219A
76,FRB 20180916B,FRB 20191219B
77,FRB 20180916B,FRB 20191219E
78,FRB 20180916B,FRB 20200120A
