tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag,subw_upper_flag,scat_upper_flag,spec_z,spec_z_flag,E_obs,E_obs_error,subb_flag,subb_p_flag,common_p_flag,delta_nuo_FRB,z_DM,z_DM_error_p,z_DM_error_m,E_obs_400,E_obs_400_error_p,E_obs_400_error_m,logsubw_int_rest,logsubw_int_rest_error_p,logsubw_int_rest_error_m,z,z_error_p,z_error_m,logE_rest_400,logE_rest_400_error_p,logE_rest_400_error_m,logrhoA,logrhoA_error_p,logrhoA_error_m,logrhoB,logrhoB_error_p,logrhoB_error_m,weight_DM,weight_DM_error_p,weight_DM_error_m,weight_scat,weight_scat_error_p,weight_scat_error_m,weight_w_int,weight_w_int_error_p,weight_w_int_error_m,weight_fluence,weight_fluence_error_p,weight_fluence_error_m,weight,weight_error_p,weight_error_m,weighted_logrhoA,weighted_logrhoA_error_p,weighted_logrhoA_error_m,weighted_logrhoB,weighted_logrhoB_error_p,weighted_logrhoB_error_m
FRB20180725A,180725.J0613+67,-9999,93.42,0.04,-9999,67.1,0.2,-9999,147.29,21.29,30.0,20.0,-9999,-9999,-9999,-9999,19.2,716.6,0,2.7,0,5.0,33.2,715.809,0.004,644.2,635.4,0.00295,0.0011,0.0003,2.0,1.0,-9999,4.0,2.0,-9999,0,58324.749803206,2e-09,58324.74958856,2e-09,0.0003,8e-05,38.0,4.0,-46.0,4.0,760.1,485.3,607.4,371857.954,371481,0.403,1,0,0,-9999.0,0,1600000000.0,800000000.0,0,1,1,274.8,0.6762530947693474,0.18525038509155034,0.18626853096469503,1386639460.7942255,717530944.4527636,697557431.9771248,-0.7481988060451144,0.11376858057743322,0.1416893318848269,0.6762530947693474,0.18525038509155034,0.18626853096469503,40.20807838827602,0.2683681204329744,0.3870854154065526,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180727A,180727.J1311+26,-9999,197.7,0.1,-9999,26.4,0.3,-9999,24.76,85.6,10.0,7.0,-9999,-9999,-9999,-9999,10.4,642.1,0,1.9,0,3.1,12.2,642.13,0.02,620.9,622.4,0.00295,0.0017,-9999,0.6,0.3,-9999,2.3,0.8,-9999,0,58326.036261585,4e-09,58326.036069031,6e-09,0.0014,0.0002,4.0,2.0,-9.0,3.0,800.2,400.2,493.3,382969.318,381818,0.387,1,0,1,-9999.0,0,919999999.9999999,320000000.0,0,1,1,400.00000000000006,0.6629979492518009,0.18102772098691278,0.19033710772919588,552643122.2316877,213867677.52940178,195427544.18614686,-0.07370580243678138,0.07727748412386079,0.08179893770808577,0.6629979492518009,0.18102772098691278,0.19033710772919588,39.79108000704983,0.24011506026047158,0.3037707119310369,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180729A,180729.J1316+55,-9999,199.4,0.1,-9999,55.58,0.08,-9999,115.26,61.16,20.0,10.0,-9999,-9999,-9999,-9999,32,108.4,0,4.6,0,8.6,206.6,109.5942,0.0003,78.8,86.8,0.00098,0.000157,4e-06,12.0,7.0,-9999,20.0,10.0,-9999,0,58328.0335647983,3e-10,58328.0335319349,3e-10,0.00010,-9999,16.5,0.2,-30.2,0.4,692.7,400.2,525.6,264732.041,186953,0.399,1,1,0,-9999.0,0,8000000000.0,4000000000.0,0,1,1,292.50000000000006,0.06741866844783667,0.057417592202232484,0.04335478045070991,8014530392.7931,3963645471.558384,4096011428.658887,-0.9487617196749512,0.23816528639049772,0.4117121578269405,0.06741866844783667,0.057417592202232484,0.04335478045070991,38.88071930088078,0.6101678866218876,0.9526486408002341,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180729B,180729.J0558+56,-9999,89.9,0.3,-9999,56.5,0.2,-9999,156.9,15.68,20.0,10.0,-9999,-9999,-9999,-9999,12.4,318.6,0,0.9,0,1.7,22,317.224,0.004,223.2,198.8,0.00197,0.0007,0.0002,0.9,0.6,-9999,1.2,0.7,-9999,0,58328.728032398,4e-09,58328.727937274,4e-09,0.00031,8e-05,14.0,3.0,-15.0,3.0,800.2,441.8,657.5,425139.488,421337,0.323,1,0,0,-9999.0,0,480000000.0,280000000.0,0,1,1,358.40000000000003,0.189369231814624,0.09110551094498054,0.089556659498007,449051632.0537291,258539461.01114815,267672182.97904173,-0.5821945537508793,0.10362413911134777,0.13193555590739392,0.189369231814624,0.09110551094498054,0.089556659498007,38.56187879376709,0.4155145070214985,0.6648368904758826,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180730A,180730.J0353+87,-9999,57.39,0.03,-9999,87.2,0.2,-9999,125.11,25.11,300.0,100.0,-9999,200.0,100.0,-9999,69.5,849.2,3.3,2.3,6.1,4.4,89.8,848.904,0.002,789.7,790.5,0.00492,0.00207,7e-05,5.0,3.0,-9999,30.0,10.0,-9999,0,58329.151134266,1e-09,58329.15087971,1e-09,0.00047,4e-05,4.3,0.3,-11.3,0.5,759.2,400.2,483.5,429165.844,417689,0.329,1,0,0,-9999.0,0,12000000000.0,4000000000.0,0,1,1,359.00000000000006,0.8396573189801181,0.2076200298307601,0.20649207137469883,7266535521.423679,2623066865.03915,2509322385.4885035,-0.5925833848841804,0.060111592838813954,0.0611743081172853,0.8396573189801181,0.2076200298307601,0.20649207137469883,41.127443809836706,0.2044479053580659,0.2680613470070625,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180801A,180801.J2130+72,-9999,322.53,0.06,-9999,72.7,0.2,-9999,109.21,15.46,40.0,20.0,-9999,30.0,20.0,-9999,20.4,656.7,31.0,4.4,66.9,8.4,40.9,655.73,0.02,565.6,547.7,0.00983,0.0055,0.0004,1.1,0.7,-9999,8.0,5.0,-9999,0,58331.366249872,4e-09,58331.366053242,6e-09,0.0006,0.0002,60.0,5.0,-75.0,6.0,709.3,500.2,595.6,804325.253,800121,0.357,1,0,0,-9999.0,0,3200000000.0,2000000000.0,0,1,1,209.09999999999997,0.579754150139427,0.17112057424113924,0.17472325575930625,3191782147.797415,1981392509.742011,1937915575.737885,-0.42271163523981503,0.1375383596331054,0.18396926133066727,0.579754150139427,0.17112057424113924,0.17472325575930625,40.4391362569478,0.3423259702142829,0.4846406142403623,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180806A,180806.J1515+75,-9999,228.56,0.07,-9999,75.6,0.4,-9999,112.27,38.4,50.0,30.0,-9999,40.0,20.0,-9999,13.9,739.2,2.5,0.4,4.6,0.8,14.4,739.948,0.008,699.3,706.0,0.00295,0.0016,-9999,2.0,2.0,-9999,8.0,7.0,-9999,0,58336.592511576,3e-09,58336.592289692,4e-09,0.0014,0.0001,0.0,1.0,0.0,2.0,800.2,400.2,665.3,370874.518,369658,0.406,1,0,1,-9999.0,0,3200000000.0,2800000000.0,0,1,1,400.00000000000006,0.7477847734484335,0.19249501195983365,0.1924666261281488,1811961241.2735033,1637841069.5212932,1640904406.9387085,-0.09631675931189343,0.058060084494500945,0.05599716640755939,0.7477847734484335,0.19249501195983365,0.1924666261281488,40.469399510244294,0.3061218947884683,0.4719337509929389,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180810A,180810.J0646+34,-9999,101.5,0.1,-9999,34.9,0.2,-9999,180.67,14.06,15.0,8.0,-9999,-9999,-9999,-9999,13.1,415.7,0,1.5,0,2.7,16.5,414.88,0.004,310.2,274.7,0.00197,0.00025,8e-05,1.1,0.9,-9999,2.0,1.0,-9999,0,58340.72847224,8e-08,58340.72834783,8e-08,0.00032,7e-05,1.0,1.0,-2.0,2.0,800.2,400.2,552.9,356074.278,356889,0.427,1,0,0,-9999.0,0,800000000.0,400000000.0,0,1,1,400.00000000000006,0.2804723137734694,0.11348686503517985,0.1170938655853008,624732513.6971717,325735101.62479496,313526143.5709973,-0.600962854917831,0.09465491432896223,0.11322141708701361,0.2804723137734694,0.11348686503517985,0.1170938655853008,39.053588048990065,0.367712706886806,0.5476572158564537,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180810B,180810.J1159+83,-9999,180.41,0.02,-9999,83.1,0.2,-9999,124.71,33.82,60.0,30.0,-9999,40.0,30.0,-9999,38.6,169.8,2.7,1.1,4.7,1.8,55.1,169.139,0.002,123.3,129.6,0.00098,0.0002,1e-05,5.0,1.0,-9999,8.0,2.0,-9999,0,58340.944953709,2e-09,58340.94490299,2e-09,0.00031,3e-05,-0.8,0.4,-4.1,0.7,778.6,400.2,400.2,191482.92,183305,0.411,1,0,0,-9999.0,0,3200000000.0,800000000.0,0,1,1,378.40000000000003,0.10772720640436566,0.05972014539100261,0.05639239771475311,3027765141.422279,778372092.0572462,759489844.7461252,-0.5545699401065729,0.04608169609966861,0.04927062303931551,0.10772720640436566,0.05972014539100261,0.05639239771475311,38.92274173606085,0.38988659327832664,0.6446845469439708,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180812A,180812.J0112+80,-9999,19.3,0.3,-9999,80.8,0.3,-9999,124.02,17.96,50.0,30.0,-9999,40.0,30.0,-9999,12.5,795.8,6.2,2.1,12.2,4.1,20.5,802.45,0.03,722.1,708.4,0.00786,0.0028,0.0003,0.9,0.6,-9999,5.0,3.0,-9999,0,58342.490092581,4e-09,58342.48985195,1e-08,0.0013,-9999,-3.0,1.0,-8.0,4.0,586.4,400.2,400.2,563105.45,560873,0.399,1,1,0,-9999.0,0,2000000000.0,1200000000.0,0,1,1,186.2,0.7511398265640024,0.20178215077233896,0.19953601729156056,2011947996.5200477,1178715390.3920884,1227970254.704845,-0.04597844057313827,0.2512636857377968,0.4189690953706509,0.7511398265640024,0.20178215077233896,0.19953601729156056,40.467910300323595,0.30606317025575436,0.4302866283416762,,,,,,,,,,,,,,,,,,,,,,,,,,,
