name,details
tns_name,
previous_name,
repeater_name,
ra,
ra_err,
ra_notes,
dec,
dec_err,
dec_notes,
gl,
gb,
exp_up,
exp_up_err,
exp_up_notes,
exp_low,
exp_low_err,
exp_low_notes,
bonsai_snr,
bonsai_dm,
low_ft_68,
up_ft_68,
low_ft_95,
up_ft_95,
snr_fitb,
dm_fitb,
dm_fitb_err,
dm_exc_ne2001,
dm_exc_ymw16,
bc_width,
scat_time,
scat_time_err,
flux,
flux_err,
flux_notes,
fluence,
fluence_err,
fluence_notes,
sub_num,
mjd_400,
mjd_400_err,
mjd_inf,
mjd_inf_err,
width_fitb,
width_fitb_err,
sp_idx,
sp_idx_err,
sp_run,
sp_run_err,
high_freq,
low_freq,
peak_freq,
chi_sq,
dof,
flag_frac,
excluded_flag,
subw_upper_flag,"`width_fitb` and `logsubw_int_rest` indicate upper limits if 1. Otherwise 0. Different for sub-bursts."
scat_upper_flag,"`scat_time` indicates the upper limit if 1. Otherwise 0. Common for sub-bursts with the same tns name."
spec_z,"spectroscopic redshift if available. Otherwise -9999. Common for sub-bursts with the same tns name."
spec_z_flag,"spec z is available if 1. Otherwise 0. Common for sub-bursts with the same tns name."
E_obs,"(Jy ms Hz): fluence (Jy ms) × delta_v, where delta_v is the band width of 400 MHz at observer's frame. Common for sub-bursts with the same tns name."
E_obs_error,"(Jy ms Hz): error of E obs. Common for subbursts with the same tns name."
subb_flag,"1 if the row belongs to multiple sub-bursts. 0 means FRBs without sub-bursts. Common for sub-bursts with the same tns name."
subb_p_flag,"subb p flag=1 can be used when sub-burst parameters are used. All rows have 1."
common_p_flag,"common p flag=1 can be used when common parameters are used. For each tns name, the first sub-burst indicates 1. Different for sub-bursts."
delta_nuo_FRB,"(MHz) observed spectral band width. Common for sub-bursts. i.e. high freq-low freq for FRBs without multiple sub-bursts and max(high freq)-min(low freq) for FRBs with multiple sub-bursts. The latter works because there is no frequency gap between sub-bursts in the catalogue."
z_DM,"redshift derived from a dispersion measure. 50 percentile of the probability distribution function (PDF). Common for sub-bursts with the same tns name."
z_DM_error_p,"+1σ of z DM. 84.135 percentile of the PDF - z_DM. Common for sub-bursts with the same tns name."
z_DM_error_m,"-1σ of z DM. z_DM - 15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
E_obs_400,"(Jy ms Hz): observed energy integrated over 400 MHz at emitter's frame. 50 percentile of the PDF. Common for sub-bursts with the same tns name."
E_obs_400_error_p,"(Jy ms Hz): +1σ of E obs 400. 84.135 percentile of the PDF - E_obs_400. Common for sub-bursts with the same tns name."
E_obs_400_error_m,"(Jy ms Hz): −1σ of E obs 400. E obs 400 - 15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
logsubw_int_rest,"(ms) log rest-frame intrinsic duration of a sub-burst in the logarithmic scale. 50 percentile of the PDF. Different for sub-bursts."
logsubw_int_rest_error_p,"(ms) +1σ of logsubw int rest. 84.135 percentile of the PDF - subw int rest. Different for subbursts."
logsubw_int_rest_error_m,"(ms) −1σ of logsubw int rest. logsubw int rest - 15.865 percentile of the PDF. Different for subbursts."
z,"spec_z if available, otherwise z DM. Common for subbursts with the same tns name."
z_error_p,"spec z error if spec z is available, otherwise z_DM_error_p. Common for sub-bursts with the same tns name."
z_error_m,"spec z error if spec z is available, otherwise z DM_error_m. Common for sub-bursts with the same tns name."
logE_rest_400,"(erg) radio energy in the logarithmic scale integrated over 400 MHz at emitter's frame. 50 percentile of the PDF. Common for sub-bursts with the same tns name."
logE_rest_400_error_p,"(erg) +1σ of logE rest 400. 84.135 percentile of the PDF - logE rest 400. Common for sub-bursts with the same tns name."
logE_rest_400_error_m,"(erg) -1σ of logE rest 400. logE rest 400 -15.865 percentile of the PDF. Common for subbursts with the same tns name."
logrhoA,"(Gpc^-3 yr^-1) the number density in the logarithmic scale derived by the Vmax method and redshift bin A. Uncorrected for the selection functions. Common for sub-bursts with the same tns name."
logrhoA_error_p,"(Gpc^-3 yr^-1) +1σ of logrhoA. 84.135 percentile of the PDF - logrhoA. Common for sub-bursts with the same tns name."
logrhoA_error_m,"(Gpc^-3 yr^-1) -1σ of logrhoA. logrhoA - 15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
logrhoB,"(Gpc^-3 yr^-1) the number density in the logarithmic scale derived by the Vmax method and redshift bin B. Uncorrected for the selection functions. Common for sub-bursts with the same tns name."
logrhoB_error_p,"(Gpc^-3 yr^-1) +1σ of logrhoB. 84.135 percentile of the PDF - logrhoB. Common for sub-bursts with the same tns name."
logrhoB_error_m,"(Gpc^-3 yr^-1) -1σ of logrhoB. logrhoB - 15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
weight_DM,"weight factor of DMobs. Common for subbursts with the same tns name."
weight_DM_error_p,"+1σ of weight DM. 84.135 percentile of the PDF - weight DM. Common for sub-bursts with the same tns name."
weight_DM_error_m,"-1σ of weight DM. weight DM -15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
weight_scat,"weight factor of τ_scat. Common for sub-bursts with the same tns name."
weight_scat_error_p,"+1σ of weight scat. 84.135 percentile of the PDF - weight scat. Common for sub-bursts with the same tns name."
weight_scat_error_m,"-1σ of weight scat. weight scat -15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
weight_w_int,"weight factor of w_int. Common for subbursts with the same tns name."
weight_w_int_error_p,"+1σ of weight w int. 84.135 percentile of the PDF - weight w int. Common for sub-bursts with the same tns name."
weight_w_int_error_m,"-1σ of weight w int. weight w int -15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
weight_fluence,"weight factor of fluence. Common for subbursts with the same tns name."
weight_fluence_error_p,"+1σ of weight fluence. 84.135 percentile of the PDF - weight fluence. Common for sub-bursts with the same tns name."
weight_fluence_error_m,"-1σ of weight fluence. weight fluence -15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
weight,"weight DM×weight scat×weight w int×weight fluence. Common for sub-bursts with the same tns name."
weight_error_p,"+1σ of weight. 84.135 percentile of the PDF - weight. Common for sub-bursts with the same tns name."
weight_error_m,"-1σ of weight. weight -15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
weighted_logrhoA,"(Gpc^-3 yr^-1) the number density in the logarithmic scale (redshift bin A) corrected for the selection functions. Common for sub-bursts with the same tns name."
weighted_logrhoA_error_p,"(Gpc^-3 yr^-1) +1σ of weighted logrhoA. 84.135 percentile of the PDF - weighted logrhoA. Common for sub-bursts with the same tns name."
weighted_logrhoA_error_m,"(Gpc^-3 yr^-1) -1σ of weighted logrhoA. weighted logrhoA -15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
weighted_logrhoB,"(Gpc^-3 yr^-1) the number density in the logarithmic scale (redshift bin A) corrected for the selection functions. Common for sub-bursts with the same tns name."
weighted_logrhoB_error_p,"(Gpc^-3 yr^-1) +1σ of weighted logrhoB. 84.135 percentile of the PDF - weighted logrhoB. Common for sub-bursts with the same tns name."
weighted_logrhoB_error_m,"(Gpc^-3 yr^-1) -1σ of weighted logrhoB. weighted logrhoB -15.865 percentile of the PDF. Common for sub-bursts with the same tns name."
