repeater_name,tns_name,mjd_400,count,wait,log_wait,catalog,eventname
FRB20180909A,FRB20180909A,58370.705981149,2,,,Catalog 2023,
FRB20180909A,FRB20201016A,59138.6177933448,2,767.9118121957945,2.8853113480577757,Catalog 2023,
FRB20180910A,FRB20180910A,58371.3375771807,3,,,Catalog 2023,
FRB20180910A,FRB20190925C,58751.2171067313,3,379.8795295506061,2.5796458914943323,Catalog 2023,
FRB20180910A,FRB20200621D,59021.0480105876,3,269.83090385629475,2.4310916881292544,Catalog 2023,
FRB20181201D,FRB20181201D,58453.7477849844,2,,,Catalog 2023,
FRB20181201D,FRB20201224A,59207.8578833363,2,754.1100983518991,2.8774347565011777,Catalog 2023,
FRB20181226F,FRB20181226F,58478.3276569238,3,,,Catalog 2023,
FRB20181226F,FRB20190201A,58515.6501499515,3,37.32249302769924,1.5719706455785196,Catalog 2023,
FRB20181226F,FRB20201111A,59164.9031673497,3,649.2530173982013,2.812413976686159,Catalog 2023,
FRB20190107B,FRB20190107B,58490.1404436173,3,,,Catalog 2023,
FRB20190107B,FRB20190308B,58550.4669946001,3,60.326550982797926,1.7805084963431401,Catalog 2023,
FRB20190107B,FRB20190308B,58550.4669946329,3,3.2800016924738884e-08,-7.484125932193235,Catalog 2023,
FRB20190110C,FRB20190110C,58493.7,4,,,Catalog 2023,
FRB20190110C,FRB20191107C,58794.8944154096,4,301.1944154096054,2.478846915140626,Catalog 2023,
FRB20190110C,FRB20191107C,58794.8944155055,4,9.589712135493755e-08,-7.018194429309313,Catalog 2023,
FRB20190110C,FRB20210322F,59295.5265217698,4,500.63210626430373,2.699518698101412,Catalog 2023,
FRB20190113A,FRB20190113A,58496.319812808,2,,,Catalog 2023,
FRB20190113A,FRB20200321G,58929.1372065341,2,432.8173937261017,2.636304705535381,Catalog 2023,
FRB20190127B,FRB20190127B,58510.3912164718,2,,,Catalog 2023,
FRB20190127B,FRB20200429B,58968.6292332264,2,458.2380167545998,2.6610911166775724,Catalog 2023,
FRB20190210C,FRB20190210C,58524.252585852,2,,,Catalog 2023,
FRB20190210C,FRB20210316B,59289.412346704,2,765.1597608519951,2.883752122751701,Catalog 2023,
FRB20190226B,FRB20190226B,58540.6583458226,3,,,Catalog 2023,
FRB20190226B,FRB20200118B,58866.7627721391,3,326.1044263165022,2.5133566936596394,Catalog 2023,
FRB20190226B,FRB20201004B,59126.0517756237,3,259.28900348459865,2.4137840986157557,Catalog 2023,
FRB20190303D,FRB20190303D,58545.3915711099,2,,,Catalog 2023,
FRB20190303D,FRB20190804B,58699.981256105,2,154.589684995095,2.1891805122267853,Catalog 2023,
FRB20190328C,FRB20190328C,58570.5175061331,2,,,Catalog 2023,
FRB20190328C,FRB20190918C,58744.5130746152,2,173.99556848209613,2.2405381873154697,Catalog 2023,
