eventname,datetime
190907.J08+46,2019-09-07 17:02:43.311
190907.J08+46,2019-09-15 16:27:36.8563
190907.J08+46,2019-09-25 15:54:06.438
190907.J08+46,2020-03-07 05:07:50.022896
190907.J08+46,2020-07-29 19:42:05.772016
190907.J08+46,2022-05-25 00:03:49.966236
190907.J08+46,2022-12-07 11:04:40.969042
FRB20171019A,2019-08-05 09:21:08.086213
FRB20171019A,2020-08-01 09:37:16.682316
FRB20171019A,2020-12-27 00:00:20.434250
FRB20180814A,2018-08-14 14:49:50.000000
FRB20180814A,2018-09-11 13:40:40.250511
FRB20180814A,2018-09-11 13:40:40.250511
FRB20180814A,2018-09-17 00:46:38.163456
FRB20180814A,2018-09-19 12:36:11.855550
FRB20180814A,2018-10-28 10:12:34.523738
FRB20180814A,2018-11-18 08:44:49.691204
FRB20180814A,2018-11-20 08:25:28.207892
FRB20180814A,2019-02-24 01:54:18.129039
FRB20180814A,2019-03-29 23:58:21.291010
FRB20180814A,2019-05-17 20:33:36.994949
FRB20180814A,2019-06-11 18:52:42.513072
FRB20180814A,2019-06-25 17:43:46.767495
FRB20180814A,2019-06-26 18:37:52.780321
FRB20180814A,2019-08-17 14:39:57.812615
FRB20180814A,2019-09-29 11:58:34.000000
FRB20180814A,2019-10-29 09:41:58.675691
FRB20180814A,2019-11-07 21:23:07.147988
FRB20180814A,2019-11-11 08:55:15.504688
FRB20180814A,2020-02-24 01:47:54.332139
FRB20180814A,2020-03-02 01:52:16.446643
FRB20180814A,2020-09-03 13:20:33.303715
FRB20180908B,2018-09-08 21:13:01.2578
FRB20180908B,2019-06-21 02:21:21.1131
FRB20180908B,2019-07-02 01:58:14.678190
FRB20180908B,2019-07-18 01:11:20.056
FRB20180909A,2018-09-09 16:56:36.764898
FRB20180909A,2020-10-16 14:49:37.368181
FRB20180910A,2018-09-10 08:06:06.667958
FRB20180910A,2019-09-25 05:12:38.050908
FRB20180910A,2020-06-21 01:09:08.075835
FRB20180916B,2018-09-16 10:15:19.8021
FRB20180916B,2018-09-19 08:13:22.7507
FRB20180916B,2018-11-20 05:56:06.23243
FRB20180916B,2018-12-22 03:59:23.2082
FRB20180916B,2018-12-23 03:51:28.96040
FRB20180916B,2018-12-25 03:53:03.9260
FRB20180916B,2018-12-26 03:43:30.1074
FRB20180916B,2019-01-26 01:32:45.3289
FRB20180916B,2019-05-18 18:21:05.993431
FRB20180916B,2019-05-19 17:50:25.678653
FRB20180916B,2019-06-03 17:09:23.395479
FRB20180916B,2019-06-05 16:56:04.897646
FRB20180916B,2019-08-09 12:50:49.264130
FRB20180916B,2019-08-10 12:49:43.517432
FRB20180916B,2019-08-25 11:48:27.640875
FRB20180916B,2019-10-30 07:33:56.995676
FRB20180916B,2019-12-18 04:09:27.633710
FRB20180916B,2019-12-19 04:07:38.821993
FRB20180916B,2020-01-04 03:16:14.907550
FRB20180916B,2020-01-20 01:49:14.068615
FRB20180916B,2020-02-03 01:07:23.999841
FRB20180916B,2020-02-19 23:53:36.995061
FRB20180916B,2020-02-20 00:10:09.912647
FRB20180916B,2020-02-21 00:09:48.615083
FRB20180916B,2020-03-24 21:35:53.718858
FRB20180916B,2020-04-23 19:39:04.299594
FRB20180916B,2020-04-24 19:53:26.542656
FRB20180916B,2020-05-12 18:38:20.239628
FRB20180916B,2020-05-13 18:31:04.052001
FRB20180916B,2020-06-13 16:37:44.085575
FRB20180916B,2020-06-14 16:26:52.101007
FRB20180916B,2020-07-02 15:25:42.342735
FRB20180916B,2020-08-01 13:27:31.367029
FRB20180916B,2020-09-03 11:10:32.495964
FRB20180916B,2020-09-04 10:52:03.043901
FRB20180916B,2020-09-19 09:45:15.585285
FRB20180916B,2020-11-23 05:52:02.519931
FRB20180916B,2021-01-11 02:30:09.675430
FRB20180916B,2021-01-27 01:27:25.718269
FRB20180916B,2021-01-30 01:03:21.275666
FRB20180916B,2021-01-31 01:23:59.433226
FRB20180916B,2021-02-14 00:12:42.939778
FRB20180916B,2021-03-01 23:21:50.427561
FRB20180916B,2021-03-04 23:02:53.149570
FRB20180916B,2021-03-20 21:41:56.460856
FRB20180916B,2021-04-02 21:21:44.648294
FRB20180916B,2021-05-21 17:56:31.369943
FRB20180916B,2021-05-23 17:55:23.829196
FRB20180916B,2021-06-25 15:38:55.118361
FRB20180916B,2021-06-26 15:52:16.177712
FRB20180916B,2021-07-11 14:24:21.397196
