burst_rate,burst_rate_neg,burst_rate_pos,period,period_neg,period_pos,source,subinterval,n,tau
0.4034,,,15.91,0.05,0.52,"this work",0.1,5,64
0.337,,,16.30,0.55,0.64,"this work",0.2,10,131
0.442,,,16.32,0.40,0.23,"this work",0.3,19,262
0.413,,,16.24,0.27,0.37,"this work",0.4,24,343
0.4025,,,16.36,0.24,0.21,"this work",0.5,29,458
0.458,,,16.28,0.19,0.18,"this work",0.6,42,555
0.447,,,16.30,0.11,0.10,"this work",0.7,49,655
0.431,,,16.24,0.08,0.17,"this work",0.8,55,733
0.398,,,16.33,0.14,0.06,"this work",0.9,57,847
0.434,,,16.32,0.10,0.07,"this work",1.0,70,929
